id,event_id,source_type,source_name,source_url,source_quality,source_precision
src_evt_atlantic_slave_trade_britannica,evt_atlantic_slave_trade,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/topic/transatlantic-slave-trade,encyclopedic,direct
src_evt_protestant_reformation_britannica,evt_protestant_reformation,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Reformation,encyclopedic,direct
src_evt_spanish_conquest_aztec_britannica,evt_spanish_conquest_aztec,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Battle-of-Tenochtitlan,encyclopedic,direct
src_evt_mughal_empire_britannica,evt_mughal_empire,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/topic/Mughal-dynasty,encyclopedic,direct
src_evt_ethiopian_adal_war_wikipedia,evt_ethiopian_adal_war,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Ethiopian%E2%80%93Adal_War,encyclopedic,direct
src_evt_ottoman_safavid_war_wikipedia,evt_ottoman_safavid_war_1532,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Ottoman%E2%80%93Safavid_War_(1532%E2%80%931555),encyclopedic,direct
src_evt_spanish_conquest_inca_wikipedia,evt_spanish_conquest_inca,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Spanish_conquest_of_the_Inca_Empire,encyclopedic,direct
src_evt_council_of_trent_britannica,evt_council_of_trent,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Council-of-Trent,encyclopedic,direct
src_evt_eighty_years_war_britannica,evt_eighty_years_war,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Eighty-Years-War,encyclopedic,direct
src_evt_japanese_invasions_korea_world_history,evt_japanese_invasions_korea,encyclopedia,World History Encyclopedia,https://www.worldhistory.org/article/1398/the-japanese-invasion-of-korea-1592-8-ce/,encyclopedic,direct
src_evt_dutch_east_india_company_britannica,evt_dutch_east_india_company,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/topic/Dutch-East-India-Company,encyclopedic,direct
src_evt_tokugawa_shogunate_britannica,evt_tokugawa_shogunate,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/topic/Tokugawa-shogunate,encyclopedic,direct
